,mse_test_0.95,mse_test_0.9,mse_test_0.85,mse_test_0.8,mse_test_0.75,mse_test_0.7,mse_test_0.65,mse_test_0.6
149,0.0059461016,0.0046740253,0.0044724215,0.0040178443,0.00390971,0.003798368,0.003494647,0.0034988294
150,0.005971217,0.0046910895,0.0044662706,0.004037033,0.003907442,0.0038030709,0.0035014339,0.0035075052
151,0.005937931,0.004698548,0.0044601494,0.0040589427,0.0039101727,0.0038152959,0.0035180505,0.003518946
152,0.005988636,0.004672921,0.004511298,0.0040539894,0.0039023303,0.003804975,0.0035064118,0.0035269181
153,0.0059507675,0.004696315,0.00452501,0.004062038,0.003914793,0.0038223488,0.003504274,0.0035405478
154,0.005889167,0.004737044,0.0044861077,0.004049959,0.003910621,0.0038609675,0.0035182354,0.003540467
155,0.0059116543,0.004773419,0.0044266093,0.0040658903,0.003913671,0.0038614688,0.0035270092,0.0035294858
156,0.005950901,0.004778633,0.0043952013,0.004067365,0.003908476,0.0038520228,0.0035375205,0.003519379
157,0.006081786,0.0049122428,0.0044213864,0.0039576064,0.0039230427,0.0038299754,0.0035098847,0.0035293158
158,0.0061366484,0.00490909,0.0044350037,0.0039346633,0.003926664,0.0038067973,0.0034903123,0.0035174752
159,0.006114037,0.0049011623,0.004437338,0.0039333487,0.003928748,0.0038060164,0.0034920159,0.0035181802
160,0.0059309965,0.004882926,0.0044891327,0.0039474196,0.003921979,0.003800583,0.003567377,0.0035692682
161,0.0059699756,0.0048797214,0.00448239,0.003943911,0.003927162,0.0037978308,0.0035565887,0.0035645082
162,0.0060158027,0.0048367656,0.0044960314,0.0039341357,0.003922933,0.003799713,0.0035222694,0.0035504038
163,0.005434532,0.0045512086,0.004001796,0.0039425055,0.0036140697,0.003429673,0.00346725,0.0033452571
164,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
165,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
166,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
167,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
168,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
169,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
170,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
171,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
172,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
173,0.006168245,0.004827523,0.004293568,0.0040499046,0.0039268597,0.0037715812,0.0034796423,0.0034452367
174,0.006168464,0.0048276177,0.0042936094,0.004049839,0.0039268504,0.0037715668,0.0034796444,0.00344526
